work type,"title/_pref=""preferred""","title/_pref=""alternate""",title/_lang,creator,"measurements/_unit=""cm""",materials technique,style,creation date,"location/_type=""creation Location""","location/_type=""currentRepository""",classification,related work/_part of,related work/_larger context for,link related resource,rights_Resource,record source
painting,"""23 JUL.1982""",Vendredo,Esperanto,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1982-07-23,Kariya,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (23 JUL.1982),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""20 MARS1984""",Mardi,French,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1984-03-20,Bruxelles,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (20 MARS1984),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""14 DEC.1985""",Samedi,French,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1985-12-14,Lyon,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (14 DEC.1985),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""18 JUN.1989""",Dimanĉo,Esperanto,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1989-06-18,Nagoya,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (18 JUN.1989),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""29 JUL.1989""",Sabato,Esperanto,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1989-07-29,Naha,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (29 JUL.1989),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""13 GEN.1990""",,Catalan,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1990-01-13,Barcelona,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (13 GEN.1990),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""APR.4,1990""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1990-04-04,Sydney,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (APR.4,1990)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""AUG.26,1990""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1990-08-26,Honolulu,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (AUG.26,1990)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""27 OTT.1990""",,Italian,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1990-10-27,Roma,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (27 OTT.1990),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""8.MÄRZ1991""",Freitag,German,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1991-03-08,Düsseldorf,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (8.MÄRZ1991),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""JUNE 30,1991""",Sunday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1991-06-30,Singapore,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JUNE 30,1991)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""24 JUL.1991""",Merkredo,Esperanto,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1991-07-24,Hiroshima,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (24 JUL.1991),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""AUG.27,1991""",Tuesday,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1991-08-27,Anchorage,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (AUG.27,1991)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""OCT.2,1991""",Wednesday,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1991-10-02,London,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (OCT.2,1991)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION., Kawara, O. (1992b). A on Kawara: Date Paintings in 89 Cities. BOYMANS-VAN BEUNINGEN MUSEUM."
painting,"""13 DIC.1991""",,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1991-12-13,Milano,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (13 DIC.1991),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""30.DEZ.1991""",,German,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1991-12-30,Wien,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (30.DEZ.1991),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""AUG.28,1992""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1992-08-28,Vancouver,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (AUG.28,1992)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""6.DEZ.1992""",,German,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1992-12-06,Aachen,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (6.DEZ.1992),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""20 FEV.1993""",,French,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1993-02-20,Paris,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (20 FEV.1993),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""27 MAI1993""",,French,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1993-05-27,Bordeaux,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (27 MAI 1993),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""16 MAY.94""",,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1994-05-16,Madrid,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (16 MAY.94.),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""8 DEC.1994""",,French,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1994-12-08,Lille,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (8 DEC.1994),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""19 JUN.1995""",,Esperanto,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1995-06-19,Toyonaka,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (19 JUN.1995),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""26.ÁG.1995""",,Icelandic,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1995-08-26,Reykjavík,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (26.ÁG.1995),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""2.OKT.1995""",,German,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1995-10-02,Köln,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (2.OKT.1995),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""7 JAN.1999""",,Esperanto,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1999-01-07,Manila,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (7 JAN.1999),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""20.JUNI1999""",,German,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1999-06-20,Zürich,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (20.JUNI 1999),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""DEC.8,1999""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,1999-12-08,New Delhi,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (DEC.8,1999)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""30 DEC.1999""",,Esperanto,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1999-12-30,Fujinomiya,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""9 JAN.2000""",,Esperanto,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2000-01-09,Taipei,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (9 JAN.2000),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""31 MAI2000""",,Esperanto,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2000-05-31,Abidjan,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (31 MAI 2000),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""4.JUNI2001""",,German,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2001-06-04,Stuttgart,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (4.JUNI 2001),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JUNE12,2001""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2001-06-12,Birmingham,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JUNE 12,2001)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""6 OKT.2001""",,Dutch,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2001-10-06,Amsterdam,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (6 OKT.2001),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JULY23,2002""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2002-07-23,Margaree Centre,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JULY 23,2002)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""SEPT.16,2004""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2004-09-16,Fort Worth,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (SEPT.16,2004)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""3 OCT.2004""",,French,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2004-10-03,Lourdes,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (3 OCT.2004),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""17 OCT.2004""",,Italian,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2004-10-17,Bastia,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (17 OCT.2004),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""22 OCT.2004""",,French,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2004-10-22,Limoges,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (22 OCT.2004),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""10 DEC.2004""",,Esperanto,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2004-12-10,Krung Thep,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (10 DEC.2004),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""DEC.16,2004""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2004-12-16,Kolkata,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (DEC.16,2004)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""9 MAI2005""",,French,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2005-05-09,Auray,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (9 MAI 2005),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""23 MAIO2005""",,Portuguese,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2005-05-23,Lisbon,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (23 MAIO 2005),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""25 MAIO2005""",,Portuguese,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2005-05-25,Porto,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (25 MAIO 2005),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""10 FEB.2006""",,Esperanto,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2006-02-10,Simantogava,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (10 FEB.2006),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""22 FEB.2006""",,Esperanto,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2006-02-22,Sendai,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (22 FEB.2006),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""13 JUIN2006""",,French,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2006-06-13,Monte Carlo,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (13 JUIN 2006),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""22 JUIN2006""",,French,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2006-06-22,Vagnas,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (22 JUIN 2006),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""21.JULI2006""",,German,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2006-07-21,Kreisfreie Stadt Münster,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (21.JULI 2006),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""4 AOÛT2006""",,French,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2006-09-04,Montfavet,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (4 AOÛT 2006),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""22 ENE.2007""",,Spanish,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2007-01-22,San José,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (22 ENE.2007),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""22 JUNI2007""",,Dutch,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2007-06-22,Antwerpen,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (22 JUNI 2007),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JULY15,2007""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2007-07-15,Manchester,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JULY 15,2007)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JULY17,2007""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2007-07-17,Glasgow,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JULY 17,2007)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JULY19,2007""",,English,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2007-07-19,Edinburgh,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (JULY 19,2007)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""10 AGO.2007""",,Spanish,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2007-08-10,Andorra la Vella,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (10 AGO.2007),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""SEPT.23,2007""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2007-09-23,Salt Lake City,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (SEPT.23,2007)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""OCT.24,2007""",,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,2007-10-24,Hartford,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)","artist-made cardboard storage box with newspaper (OCT.24,2007)",,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""19 FEB.2008""",,Esperanto,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2008-02-19,Shanghai,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (19 FEB.2008),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""21 FEB.2008""",,Esperanto,"Kawara, On",20.3 x 25.4 cm,acrylic painting,conceptual art,2008-02-21,Pekino,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",artist-made cardboard storage box with newspaper (21 FEB.2008),,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JANUARY 30, 1966""",Snow in New York City,English,"Kawara, On",21.6 x 41.9 cm,acrylic painting,conceptual art,1966-01-30,New York,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""AUG.29,1967""","In London, Chinese, swinging clubs, iron bars and axes fought with British policemen today in a narrow dead-end street behind the Chinese diplomatic office at the corner of Portland Place and Weymoth Street.",English,"Kawara, On",33 x 43.2 cm,acrylic painting,conceptual art,1967-08-29,New York,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""FEB.7,1968""","The American-led camp at Langvei, near Khesanh, South Vietnam, fell today after it had been assaulted by Soviet-made tanks, and in New York Mayor Lindsay issued an ultimatum tonight to the 10,000 striking sanitation workers, ordering them back to their jobs by 7 a.m. tomorrow.",English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1968-02-07,New York,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JULY16,1969""","NEIL A. ARMSTRONG, EDWINE E. ALDRIN JR., MICHAEL COLLINS.",English,"Kawara, On",154.9 x 226.1 cm,acrylic painting,conceptual art,1969-07-16,New York,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JULY20,1969""",MAN WALKS ON MOON.,English,"Kawara, On",154.9 x 226.1 cm,acrylic painting,conceptual art,1969-07-20,New York,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JULY21,1969""","APOLLO 11 AT THE DISTANCE OF 238,857 MILES FROM EARTH.",English,"Kawara, On",154.9 x 226.1 cm,acrylic painting,conceptual art,1969-07-21,New York,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""NOV.11,1970""","Maria Addolorata Casalini, 41 years old, gave birth to her 32nd child today in Apulia, Italy, a girl weighing 6.6 pounds. Fifteen of her 32 children survive.",English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1970-11-11,New York,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""JUNE 3,1971""",North Vietnam announced today that it was canceling all arrangements to receive sick and wounded prisoners of war from South on the ground that only 13 out of 570 originally announced would be transferred.,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1971-06-03,New York,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""MAY 19,1972""","A huge crowd led by students gathered in Tananarive, Madagascar's capital, today and roared demands that President Philibert Tsiranana resign within 24 hours.",English,"Kawara, On",45.7 x 61 cm,acrylic painting,conceptual art,1972-05-19,New York,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
painting,"""SEPT.25,1973""",Tuesday.,English,"Kawara, On",25.4 x 33 cm,acrylic painting,conceptual art,1973-09-25,New York,unknown,serial art,"Today Series/Date Paintings (January 4, 1966-2013)",,,,"Mitchell, E. and Yamabe, L. (2012). On Kawara: Date painting(s) in New York and 136 other cities (01 Aufl.). LUDION."
